,Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
1,2MASS J00040288-6410358,192.0,19.0,1.63
2,2MASS J00242463-0158201,37.7,79.0,1.09
3,2MASS J00274197+0503417,236.0,31.0,1.44
4,2MASSW J0030300-145033,87.2,54.0,0.98
5,2MASS J00332386-1521309 [de],131.0,29.0,1.43
6,2MASS J00345157+0523050,31.0,42.0,0.94
7,2MASS 0036+1821,28.6,42.0,0.94
8,2MASSW J0045214+163445,57.0,23.0,1.62
9,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3
10,2MASS J00501994-3322402 [de],34.0,40.0,0.94
11,2MASS J00584253-0651239 [de],96.0,29.0,1.43
12,2MASSI J0103320+193536,70.0,52.0,0.98
13,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98
14,2MASSI J0117474-340325 [de],163.0,20.0,1.62
15,2MASS J01415823-4633574 [de],130.0,20.0,1.61
16,SDSS J015141.69+124429.6,70.0,47.0,0.97
17,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97
18,2MASS J02103857-3015313,101.0,15.0,1.53
19,2MASS J02340093-6442068,155.0,20.0,1.62
20,2MASS J02411151-0326587 [de],152.0,27.0,1.41
21,2MASS J02431371−2453298,35.0,33.0,0.99
22,LP 771-21,53.0,78.0,1.08
23,Teegarden's star,12.578,80.0,1.27
24,2MASS J02535980+3206373,184.0,65.0,1.9
25,WISE J0254+0223,24.0,65.0,1.9
26,DEN 0255-4700,16.2,80.0,0.97
27,2MASS J03185403-3421292 [de],45.0,49.0,0.97
28,2MASS J03205965+1854233,47.0,88.0,1.15
29,2MASS J03231002-4631237,192.0,23.0,1.66
30,SDSS J032553.17+042540.1,59.0,45.0,0.95
31,2MASS J03264225-2102057 [de],80.0,18.0,1.3
32,2MASS J03284265+2302051 [de],98.0,54.0,0.98
33,2MASS J03341218-4953322,27.0,73.0,1.04
34,LP 944-20,20.9,73.0,1.43
35,2MASP J0345432+254023,88.0,74.0,1.05
36,Teide 1,380.0,55.0,3.78
37,2MASS J03510004-0052452,48.0,102.0,1.27
38,2MASS J03552337+1133437,29.8,20.0,1.32
39,2MASS J04151954−0935066,18.6,30.0,0.95
40,2MASS J04285096-2253227 [de],85.0,80.0,1.09
41,2MASS J04351612-1606574,34.0,100.0,1.26
42,2MASS J04362788-4114465,142.0,39.0,1.97
43,2MASS J04390101-2353083 [de],29.5,48.0,0.97
44,2MASS J04433764+0002040,82.0,22.0,1.78
45,2MASS J04455387-3048204 [de],42.0,64.0,1.0
46,2MASS J04510093-3402150 [de],69.0,1.04,72.0
47,2MASS J05002100+0330501 [de],44.0,64.0,1.0
48,2MASS J05012406-0010452 [de],64.0,21.0,1.38
49,2MASS J05160945-0445499 [de],73.0,47.0,0.97
50,2MASS J0523−1403,40.0,68.0,1.01
51,SDSS J053951.99-005902.0,41.62,61.0,1.01
52,LSR 0602+3910 [de],34.6,28.0,1.41
53,2MASS J06085283-2753583,102.0,38.0,1.51
54,2MASS J06244595-4521548 [de],39.0,56.0,0.99
55,2MASS J06411840-4322329 [de],65.0,67.0,1.01
56,DENIS-P J0652197-253450 [de],51.0,75.0,1.05
57,2MASS J07075327-4900503,60.0,72.0,1.03
58,UGPS J072227.51-054031.2,13.4,26.0,0.98
59,2MASSI J0727182+171001 [de],29.6,41.0,0.94
